ORDEN,SKU,MARKETING,ACTUALIZACIONES,ACTUALIZADO,VENTAS_ACUMULADAS,PRICE,LANZAMIENTO,CANTIDAD,PRECIO_MIN,SD_PRECIO,VENTA_ALTA
3927,757879,D,1,0,1185213,45.0,2003,26,29.27,63.69,0
74712,55861,S,2,1,9439,19.95,2003,124,0.0,0.0,0
3305,765930,D,0,0,2824404,108.95,2001,18,32.93,6.84,0
11841,628877,D,1,0,433536,130.0,2005,67,101.9,47.29,0
12456,146248,D,2,1,268438,206.0,2010,100,110.06,13.67,0
70163,233371,S,2,1,754661,58.99,2005,35,0.0,24.16,0
85041,637713,S,6,1,235568,108.0,2003,31,54.36,97.9,0
27088,908357,D,8,1,2097468,18.99,2004,22,53.98,18.99,0
80894,52718,S,5,1,990891,95.2,2005,54,53.09,10.94,0
30678,901961,D,2,1,9424502,0.0,1999,15,33.99,45.95,0
16997,51734,D,6,1,101359,49.29,2006,117,142.33,49.33,1
27769,876779,D,1,0,413466,353.95,2006,59,173.45,53.98,0
25139,114012,D,1,0,558186,44.2,2000,38,39.22,13.96,1
62262,867647,S,3,1,63993,86.0,2014,31,62.98,58.99,0
18015,537339,D,6,1,832828,252.13,2012,46,59.68,153.98,1
45499,637664,S,4,1,155825,153.95,2012,49,87.98,68.72,0
54366,178035,S,2,1,1713465,133.95,2005,47,92.63,10.94,0
14068,3471015,D,2,1,1766024,59.95,1999,25,0.0,46.97,0
23421,594074,D,8,1,672505,297.95,2010,25,159.95,81.25,0
44037,697807,S,2,1,1187043,72.89,2010,13,102.99,71.25,0
52222,551521,S,2,1,1040587,97.95,2009,27,45.11,83.37,0
57265,142994,S,3,1,1237787,202.0,2004,19,93.99,82.71,0
80480,525731,S,3,1,1225159,76.95,2012,35,12.65,63.33,0
67916,544626,S,2,1,303828,108.2,2012,33,85.5,45.0,0
74113,2560854,S,7,1,468250,235.95,1980,40,0.0,62.37,0
5183,145158,D,2,1,1461966,91.96,2006,28,38.72,15.89,0
15159,118177,D,0,0,728306,114.75,2006,71,37.94,64.98,1
52476,621036,S,0,0,890969,148.0,2006,48,26.21,55.32,1
58367,653012,S,2,1,981753,80.4,1996,28,25.63,43.55,0
73197,1437669,S,2,1,294164,32.0,2014,18,14.62,48.23,1
21011,600843,D,1,0,17686,82.0,2011,27,62.64,67.97,1
34206,116780,D,3,1,425753,49.99,2004,48,37.03,23.08,0
33223,54304,D,5,1,166956,45.95,2007,86,34.3,10.97,0
42596,304113,S,0,0,737258,149.95,1994,29,32.01,46.03,0
16976,260000,D,1,0,308857,82.0,2006,27,119.29,78.52,0
41773,177055,S,3,1,1425604,181.95,2005,20,114.06,38.99,0
59744,117932,S,3,1,2561617,69.33,2005,24,57.28,30.87,0
57231,864779,S,17,1,415808,39.99,2013,31,26.29,81.45,0
