seller_id,total_visits,day,total_in_day
625563456,44,2020-08-25,12
625563456,44,2020-08-26,2
625563456,44,2020-08-27,1
625563456,44,2020-08-28,4
625563456,44,2020-08-29,5
64130989,56912,2020-07-31,1863
64130989,56912,2020-08-01,1758
64130989,56912,2020-08-02,2473
64130989,56912,2020-08-03,2244
64130989,56912,2020-08-04,2222
64130989,56912,2020-08-05,1780
64130989,56912,2020-08-06,2073
64130989,56912,2020-08-07,1901
64130989,56912,2020-08-08,2057
64130989,56912,2020-08-09,2212
64130989,56912,2020-08-10,1940
64130989,56912,2020-08-11,2305
64130989,56912,2020-08-12,1864
64130989,56912,2020-08-13,2026
64130989,56912,2020-08-14,2161
64130989,56912,2020-08-15,1907
64130989,56912,2020-08-16,1785
64130989,56912,2020-08-17,2108
64130989,56912,2020-08-18,2030
64130989,56912,2020-08-19,2149
64130989,56912,2020-08-20,2143
64130989,56912,2020-08-21,1790
64130989,56912,2020-08-22,1474
64130989,56912,2020-08-23,1798
64130989,56912,2020-08-24,2184
64130989,56912,2020-08-25,2122
64130989,56912,2020-08-26,1176
64130989,56912,2020-08-27,1251
64130989,56912,2020-08-28,1041
64130989,56912,2020-08-29,1075
17784913,2326,2020-07-31,172
17784913,2326,2020-08-01,193
17784913,2326,2020-08-02,161
17784913,2326,2020-08-03,256
17784913,2326,2020-08-04,188
17784913,2326,2020-08-05,153
17784913,2326,2020-08-06,154
17784913,2326,2020-08-07,72
17784913,2326,2020-08-08,55
17784913,2326,2020-08-09,66
17784913,2326,2020-08-10,76
17784913,2326,2020-08-11,64
17784913,2326,2020-08-12,59
17784913,2326,2020-08-13,91
17784913,2326,2020-08-14,50
17784913,2326,2020-08-15,46
17784913,2326,2020-08-16,39
17784913,2326,2020-08-17,30
17784913,2326,2020-08-18,34
17784913,2326,2020-08-19,45
17784913,2326,2020-08-20,65
17784913,2326,2020-08-21,47
17784913,2326,2020-08-22,24
17784913,2326,2020-08-23,33
17784913,2326,2020-08-24,41
17784913,2326,2020-08-25,25
17784913,2326,2020-08-26,15
17784913,2326,2020-08-27,38
17784913,2326,2020-08-28,23
17784913,2326,2020-08-29,11
8622368,616,2020-07-31,4
8622368,616,2020-08-01,8
8622368,616,2020-08-02,3
8622368,616,2020-08-03,2
8622368,616,2020-08-04,25
8622368,616,2020-08-05,13
8622368,616,2020-08-06,23
8622368,616,2020-08-07,18
8622368,616,2020-08-08,11
8622368,616,2020-08-09,33
8622368,616,2020-08-10,16
8622368,616,2020-08-11,10
8622368,616,2020-08-12,46
8622368,616,2020-08-13,36
8622368,616,2020-08-14,19
8622368,616,2020-08-15,28
8622368,616,2020-08-16,14
8622368,616,2020-08-17,14
8622368,616,2020-08-18,14
8622368,616,2020-08-19,19
8622368,616,2020-08-20,23
8622368,616,2020-08-21,33
8622368,616,2020-08-22,38
8622368,616,2020-08-23,44
8622368,616,2020-08-24,20
8622368,616,2020-08-25,34
8622368,616,2020-08-26,23
8622368,616,2020-08-27,24
8622368,616,2020-08-28,7
8622368,616,2020-08-29,14
60246795,101778,2020-07-31,2637
60246795,101778,2020-08-01,1998
60246795,101778,2020-08-02,2008
60246795,101778,2020-08-03,2808
60246795,101778,2020-08-04,4166
60246795,101778,2020-08-05,5558
60246795,101778,2020-08-06,4000
60246795,101778,2020-08-07,3073
60246795,101778,2020-08-08,3016
60246795,101778,2020-08-09,3048
60246795,101778,2020-08-10,4455
60246795,101778,2020-08-11,4913
60246795,101778,2020-08-12,4136
60246795,101778,2020-08-13,3405
60246795,101778,2020-08-14,3725
60246795,101778,2020-08-15,2435
60246795,101778,2020-08-16,1780
60246795,101778,2020-08-17,2296
60246795,101778,2020-08-18,3699
60246795,101778,2020-08-19,2951
60246795,101778,2020-08-20,3199
60246795,101778,2020-08-21,6263
60246795,101778,2020-08-22,3765
60246795,101778,2020-08-23,2690
60246795,101778,2020-08-24,4241
60246795,101778,2020-08-25,7274
60246795,101778,2020-08-26,2198
60246795,101778,2020-08-27,2326
60246795,101778,2020-08-28,2056
60246795,101778,2020-08-29,1659
278768157,81024,2020-07-31,5294
278768157,81024,2020-08-01,2904
278768157,81024,2020-08-02,4058
278768157,81024,2020-08-03,5024
278768157,81024,2020-08-04,1604
278768157,81024,2020-08-05,1416
278768157,81024,2020-08-06,1237
278768157,81024,2020-08-07,1385
278768157,81024,2020-08-08,892
278768157,81024,2020-08-09,704
278768157,81024,2020-08-10,2015
278768157,81024,2020-08-11,5574
278768157,81024,2020-08-12,3605
278768157,81024,2020-08-13,1923
278768157,81024,2020-08-14,3010
278768157,81024,2020-08-15,1465
278768157,81024,2020-08-16,1217
278768157,81024,2020-08-17,1643
278768157,81024,2020-08-18,1727
278768157,81024,2020-08-19,1687
278768157,81024,2020-08-20,2401
278768157,81024,2020-08-21,1816
278768157,81024,2020-08-22,2054
278768157,81024,2020-08-23,2409
